最大值,62.1,@,No.1250,,,,,,
109,0.0,N,0.000,mm,OK,--,15:31:31,2024/3/1,
110,0.0,N,0.000,mm,OK,--,15:31:31,2024/3/1,
111,0.0,N,0.000,mm,OK,--,15:31:31,2024/3/1,
112,0.0,N,0.000,mm,OK,--,15:31:31,2024/3/1,
113,0.0,N,0.000,mm,OK,--,15:31:31,2024/3/1,
114,0.1,N,0.000,mm,OK,--,15:31:31,2024/3/1,
115,0.1,N,0.000,mm,OK,--,15:31:31,2024/3/1,
116,0.1,N,0.000,mm,OK,--,15:31:31,2024/3/1,
117,0.1,N,0.000,mm,OK,--,15:31:31,2024/3/1,
118,0.1,N,0.000,mm,OK,--,15:31:31,2024/3/1,
119,0.1,N,0.000,mm,OK,--,15:31:32,2024/3/1,
120,0.1,N,0.000,mm,OK,--,15:31:32,2024/3/1,
121,0.1,N,0.000,mm,OK,--,15:31:32,2024/3/1,
122,0.2,N,0.000,mm,OK,--,15:31:32,2024/3/1,
123,0.2,N,0.000,mm,OK,--,15:31:32,2024/3/1,
124,0.2,N,0.000,mm,OK,--,15:31:32,2024/3/1,
125,0.2,N,0.000,mm,OK,--,15:31:32,2024/3/1,
126,0.2,N,0.000,mm,OK,--,15:31:32,2024/3/1,
127,0.2,N,0.000,mm,OK,--,15:31:32,2024/3/1,
128,0.3,N,0.000,mm,OK,--,15:31:32,2024/3/1,
129,0.3,N,0.000,mm,OK,--,15:31:32,2024/3/1,
130,0.3,N,0.000,mm,OK,--,15:31:33,2024/3/1,
131,0.3,N,0.000,mm,OK,--,15:31:33,2024/3/1,
132,0.3,N,0.000,mm,OK,--,15:31:33,2024/3/1,
133,0.4,N,0.000,mm,OK,--,15:31:33,2024/3/1,
134,0.4,N,0.000,mm,OK,--,15:31:33,2024/3/1,
135,0.4,N,0.000,mm,OK,--,15:31:33,2024/3/1,
136,0.4,N,0.000,mm,OK,--,15:31:33,2024/3/1,
137,0.5,N,0.000,mm,OK,--,15:31:33,2024/3/1,
138,0.5,N,0.000,mm,OK,--,15:31:33,2024/3/1,
139,0.5,N,0.000,mm,OK,--,15:31:33,2024/3/1,
140,0.5,N,0.000,mm,OK,--,15:31:34,2024/3/1,
141,0.6,N,0.000,mm,OK,--,15:31:34,2024/3/1,
142,0.6,N,0.000,mm,OK,--,15:31:34,2024/3/1,
143,0.6,N,0.000,mm,OK,--,15:31:34,2024/3/1,
144,0.6,N,0.000,mm,OK,--,15:31:34,2024/3/1,
145,0.7,N,0.000,mm,OK,--,15:31:34,2024/3/1,
146,0.7,N,0.000,mm,OK,--,15:31:34,2024/3/1,
147,0.7,N,0.000,mm,OK,--,15:31:34,2024/3/1,
148,0.8,N,0.000,mm,OK,--,15:31:34,2024/3/1,
149,0.8,N,0.000,mm,OK,--,15:31:35,2024/3/1,
150,0.8,N,0.000,mm,OK,--,15:31:35,2024/3/1,
151,0.8,N,0.000,mm,OK,--,15:31:35,2024/3/1,
152,0.9,N,0.000,mm,OK,--,15:31:35,2024/3/1,
153,0.9,N,0.000,mm,OK,--,15:31:35,2024/3/1,
154,0.9,N,0.000,mm,OK,--,15:31:35,2024/3/1,
155,1.0,N,0.000,mm,OK,--,15:31:35,2024/3/1,
156,1.0,N,0.000,mm,OK,--,15:31:35,2024/3/1,
157,1.0,N,0.000,mm,OK,--,15:31:35,2024/3/1,
158,1.1,N,0.000,mm,OK,--,15:31:35,2024/3/1,
159,1.1,N,0.000,mm,OK,--,15:31:35,2024/3/1,
160,1.1,N,0.000,mm,OK,--,15:31:36,2024/3/1,
161,1.1,N,0.000,mm,OK,--,15:31:36,2024/3/1,
162,1.2,N,0.000,mm,OK,--,15:31:36,2024/3/1,
163,1.2,N,0.000,mm,OK,--,15:31:36,2024/3/1,
164,1.2,N,0.000,mm,OK,--,15:31:36,2024/3/1,
165,1.3,N,0.000,mm,OK,--,15:31:36,2024/3/1,
166,1.3,N,0.000,mm,OK,--,15:31:36,2024/3/1,
167,1.4,N,0.000,mm,OK,--,15:31:36,2024/3/1,
168,1.4,N,0.000,mm,OK,--,15:31:36,2024/3/1,
169,1.4,N,0.000,mm,OK,--,15:31:36,2024/3/1,
170,1.5,N,0.000,mm,OK,--,15:31:37,2024/3/1,
171,1.5,N,0.000,mm,OK,--,15:31:37,2024/3/1,
172,1.6,N,0.000,mm,OK,--,15:31:37,2024/3/1,
173,1.6,N,0.000,mm,OK,--,15:31:37,2024/3/1,
174,1.7,N,0.000,mm,OK,--,15:31:37,2024/3/1,
175,1.7,N,0.000,mm,OK,--,15:31:37,2024/3/1,
176,1.8,N,0.000,mm,OK,--,15:31:37,2024/3/1,
177,1.8,N,0.000,mm,OK,--,15:31:37,2024/3/1,
178,1.9,N,0.000,mm,OK,--,15:31:37,2024/3/1,
179,1.9,N,0.000,mm,OK,--,15:31:38,2024/3/1,
180,2.0,N,0.000,mm,OK,--,15:31:38,2024/3/1,
181,2.0,N,0.000,mm,OK,--,15:31:38,2024/3/1,
182,2.1,N,0.000,mm,OK,--,15:31:38,2024/3/1,
183,2.1,N,0.000,mm,OK,--,15:31:38,2024/3/1,
184,2.2,N,0.000,mm,OK,--,15:31:38,2024/3/1,
185,2.2,N,0.000,mm,OK,--,15:31:38,2024/3/1,
186,2.3,N,0.000,mm,OK,--,15:31:38,2024/3/1,
187,2.4,N,0.000,mm,OK,--,15:31:38,2024/3/1,
188,2.4,N,0.000,mm,OK,--,15:31:39,2024/3/1,
189,2.5,N,0.000,mm,OK,--,15:31:39,2024/3/1,
190,2.5,N,0.000,mm,OK,--,15:31:39,2024/3/1,
191,2.6,N,0.000,mm,OK,--,15:31:39,2024/3/1,
192,2.6,N,0.000,mm,OK,--,15:31:39,2024/3/1,
193,2.7,N,0.000,mm,OK,--,15:31:39,2024/3/1,
194,2.7,N,0.000,mm,OK,--,15:31:39,2024/3/1,
195,2.8,N,0.000,mm,OK,--,15:31:39,2024/3/1,
196,2.9,N,0.000,mm,OK,--,15:31:39,2024/3/1,
197,2.9,N,0.000,mm,OK,--,15:31:39,2024/3/1,
198,3.0,N,0.000,mm,OK,--,15:31:40,2024/3/1,
199,3.0,N,0.000,mm,OK,--,15:31:40,2024/3/1,
200,3.1,N,0.000,mm,OK,--,15:31:40,2024/3/1,
201,3.2,N,0.000,mm,OK,--,15:31:40,2024/3/1,
202,3.2,N,0.000,mm,OK,--,15:31:40,2024/3/1,
203,3.3,N,0.000,mm,OK,--,15:31:40,2024/3/1,
204,3.3,N,0.000,mm,OK,--,15:31:40,2024/3/1,
205,3.4,N,0.000,mm,OK,--,15:31:40,2024/3/1,
206,3.5,N,0.000,mm,OK,--,15:31:40,2024/3/1,
207,3.6,N,0.000,mm,OK,--,15:31:40,2024/3/1,
208,3.6,N,0.000,mm,OK,--,15:31:40,2024/3/1,
209,3.7,N,0.000,mm,OK,--,15:31:40,2024/3/1,
210,3.8,N,0.000,mm,OK,--,15:31:41,2024/3/1,
211,3.9,N,0.000,mm,OK,--,15:31:41,2024/3/1,
212,3.9,N,0.000,mm,OK,--,15:31:41,2024/3/1,
213,4.0,N,0.000,mm,OK,--,15:31:41,2024/3/1,
214,4.1,N,0.000,mm,OK,--,15:31:41,2024/3/1,
215,4.2,N,0.000,mm,OK,--,15:31:41,2024/3/1,
216,4.2,N,0.000,mm,OK,--,15:31:41,2024/3/1,
217,4.3,N,0.000,mm,OK,--,15:31:41,2024/3/1,
218,4.4,N,0.000,mm,OK,--,15:31:41,2024/3/1,
219,4.5,N,0.000,mm,OK,--,15:31:41,2024/3/1,
220,4.5,N,0.000,mm,OK,--,15:31:42,2024/3/1,
221,4.6,N,0.000,mm,OK,--,15:31:42,2024/3/1,
222,4.7,N,0.000,mm,OK,--,15:31:42,2024/3/1,
223,4.8,N,0.000,mm,OK,--,15:31:42,2024/3/1,
224,4.8,N,0.000,mm,OK,--,15:31:42,2024/3/1,
225,4.9,N,0.000,mm,OK,--,15:31:42,2024/3/1,
226,5.0,N,0.000,mm,OK,--,15:31:42,2024/3/1,
227,5.1,N,0.000,mm,OK,--,15:31:42,2024/3/1,
228,5.2,N,0.000,mm,OK,--,15:31:42,2024/3/1,
229,5.2,N,0.000,mm,OK,--,15:31:43,2024/3/1,
230,5.3,N,0.000,mm,OK,--,15:31:43,2024/3/1,
231,5.4,N,0.000,mm,OK,--,15:31:43,2024/3/1,
232,5.5,N,0.000,mm,OK,--,15:31:43,2024/3/1,
233,5.5,N,0.000,mm,OK,--,15:31:43,2024/3/1,
234,5.6,N,0.000,mm,OK,--,15:31:43,2024/3/1,
235,5.7,N,0.000,mm,OK,--,15:31:43,2024/3/1,
236,5.8,N,0.000,mm,OK,--,15:31:43,2024/3/1,
237,5.8,N,0.000,mm,OK,--,15:31:43,2024/3/1,
238,5.9,N,0.000,mm,OK,--,15:31:43,2024/3/1,
239,6.0,N,0.000,mm,OK,--,15:31:44,2024/3/1,
240,6.1,N,0.000,mm,OK,--,15:31:44,2024/3/1,
241,6.1,N,0.000,mm,OK,--,15:31:44,2024/3/1,
242,6.2,N,0.000,mm,OK,--,15:31:44,2024/3/1,
243,6.3,N,0.000,mm,OK,--,15:31:44,2024/3/1,
244,6.4,N,0.000,mm,OK,--,15:31:44,2024/3/1,
245,6.4,N,0.000,mm,OK,--,15:31:44,2024/3/1,
246,6.5,N,0.000,mm,OK,--,15:31:44,2024/3/1,
247,6.6,N,0.000,mm,OK,--,15:31:44,2024/3/1,
248,6.6,N,0.000,mm,OK,--,15:31:44,2024/3/1,
249,6.7,N,0.000,mm,OK,--,15:31:45,2024/3/1,
250,6.8,N,0.000,mm,OK,--,15:31:45,2024/3/1,
251,6.8,N,0.000,mm,OK,--,15:31:45,2024/3/1,
252,6.9,N,0.000,mm,OK,--,15:31:45,2024/3/1,
253,7.0,N,0.000,mm,OK,--,15:31:45,2024/3/1,
254,7.0,N,0.000,mm,OK,--,15:31:45,2024/3/1,
255,7.1,N,0.000,mm,OK,--,15:31:45,2024/3/1,
256,7.1,N,0.000,mm,OK,--,15:31:45,2024/3/1,
257,7.2,N,0.000,mm,OK,--,15:31:45,2024/3/1,
258,7.3,N,0.000,mm,OK,--,15:31:45,2024/3/1,
259,7.3,N,0.000,mm,OK,--,15:31:45,2024/3/1,
260,7.4,N,0.000,mm,OK,--,15:31:46,2024/3/1,
261,7.5,N,0.000,mm,OK,--,15:31:46,2024/3/1,
262,7.5,N,0.000,mm,OK,--,15:31:46,2024/3/1,
263,7.6,N,0.000,mm,OK,--,15:31:46,2024/3/1,
264,7.7,N,0.000,mm,OK,--,15:31:46,2024/3/1,
265,7.7,N,0.000,mm,OK,--,15:31:46,2024/3/1,
266,7.8,N,0.000,mm,OK,--,15:31:46,2024/3/1,
267,7.9,N,0.000,mm,OK,--,15:31:46,2024/3/1,
268,7.9,N,0.000,mm,OK,--,15:31:46,2024/3/1,
269,8.0,N,0.000,mm,OK,--,15:31:46,2024/3/1,
270,8.1,N,0.000,mm,OK,--,15:31:47,2024/3/1,
271,8.1,N,0.000,mm,OK,--,15:31:47,2024/3/1,
272,8.2,N,0.000,mm,OK,--,15:31:47,2024/3/1,
273,8.3,N,0.000,mm,OK,--,15:31:47,2024/3/1,
274,8.3,N,0.000,mm,OK,--,15:31:47,2024/3/1,
275,8.4,N,0.000,mm,OK,--,15:31:47,2024/3/1,
276,8.4,N,0.000,mm,OK,--,15:31:47,2024/3/1,
277,8.5,N,0.000,mm,OK,--,15:31:47,2024/3/1,
278,8.5,N,0.000,mm,OK,--,15:31:47,2024/3/1,
279,8.6,N,0.000,mm,OK,--,15:31:48,2024/3/1,
280,8.6,N,0.000,mm,OK,--,15:31:48,2024/3/1,
281,8.7,N,0.000,mm,OK,--,15:31:48,2024/3/1,
282,8.8,N,0.000,mm,OK,--,15:31:48,2024/3/1,
283,8.9,N,0.000,mm,OK,--,15:31:48,2024/3/1,
284,8.9,N,0.000,mm,OK,--,15:31:48,2024/3/1,
285,9.0,N,0.000,mm,OK,--,15:31:48,2024/3/1,
286,9.0,N,0.000,mm,OK,--,15:31:48,2024/3/1,
287,9.1,N,0.000,mm,OK,--,15:31:48,2024/3/1,
288,9.1,N,0.000,mm,OK,--,15:31:48,2024/3/1,
289,9.2,N,0.000,mm,OK,--,15:31:48,2024/3/1,
290,9.3,N,0.000,mm,OK,--,15:31:49,2024/3/1,
291,9.3,N,0.000,mm,OK,--,15:31:49,2024/3/1,
292,9.4,N,0.000,mm,OK,--,15:31:49,2024/3/1,
293,9.4,N,0.000,mm,OK,--,15:31:49,2024/3/1,
294,9.5,N,0.000,mm,OK,--,15:31:49,2024/3/1,
295,9.6,N,0.000,mm,OK,--,15:31:49,2024/3/1,
296,9.6,N,0.000,mm,OK,--,15:31:49,2024/3/1,
297,9.7,N,0.000,mm,OK,--,15:31:49,2024/3/1,
298,9.7,N,0.000,mm,OK,--,15:31:50,2024/3/1,
299,9.8,N,0.000,mm,OK,--,15:31:50,2024/3/1,
300,9.9,N,0.000,mm,OK,--,15:31:50,2024/3/1,
301,9.9,N,0.000,mm,OK,--,15:31:50,2024/3/1,
302,10.0,N,0.000,mm,OK,--,15:31:50,2024/3/1,
303,10.0,N,0.000,mm,OK,--,15:31:50,2024/3/1,
304,10.1,N,0.000,mm,OK,--,15:31:50,2024/3/1,
305,10.2,N,0.000,mm,OK,--,15:31:50,2024/3/1,
306,10.2,N,0.000,mm,OK,--,15:31:50,2024/3/1,
307,10.3,N,0.000,mm,OK,--,15:31:50,2024/3/1,
308,10.3,N,0.000,mm,OK,--,15:31:50,2024/3/1,
309,10.4,N,0.000,mm,OK,--,15:31:50,2024/3/1,
310,10.4,N,0.000,mm,OK,--,15:31:51,2024/3/1,
311,10.5,N,0.000,mm,OK,--,15:31:51,2024/3/1,
312,10.5,N,0.000,mm,OK,--,15:31:51,2024/3/1,
313,10.6,N,0.000,mm,OK,--,15:31:51,2024/3/1,
314,10.7,N,0.000,mm,OK,--,15:31:51,2024/3/1,
315,10.7,N,0.000,mm,OK,--,15:31:51,2024/3/1,
316,10.8,N,0.000,mm,OK,--,15:31:51,2024/3/1,
317,10.8,N,0.000,mm,OK,--,15:31:51,2024/3/1,
318,10.9,N,0.000,mm,OK,--,15:31:51,2024/3/1,
319,10.9,N,0.000,mm,OK,--,15:31:52,2024/3/1,
320,11.0,N,0.000,mm,OK,--,15:31:52,2024/3/1,
321,11.0,N,0.000,mm,OK,--,15:31:52,2024/3/1,
322,11.1,N,0.000,mm,OK,--,15:31:52,2024/3/1,
323,11.1,N,0.000,mm,OK,--,15:31:52,2024/3/1,
324,11.2,N,0.000,mm,OK,--,15:31:52,2024/3/1,
325,11.3,N,0.000,mm,OK,--,15:31:52,2024/3/1,
326,11.3,N,0.000,mm,OK,--,15:31:52,2024/3/1,
327,11.3,N,0.000,mm,OK,--,15:31:52,2024/3/1,
328,11.4,N,0.000,mm,OK,--,15:31:52,2024/3/1,
329,11.5,N,0.000,mm,OK,--,15:31:52,2024/3/1,
330,11.5,N,0.000,mm,OK,--,15:31:53,2024/3/1,
331,11.6,N,0.000,mm,OK,--,15:31:53,2024/3/1,
332,11.6,N,0.000,mm,OK,--,15:31:53,2024/3/1,
333,11.7,N,0.000,mm,OK,--,15:31:53,2024/3/1,
334,11.8,N,0.000,mm,OK,--,15:31:53,2024/3/1,
335,11.8,N,0.000,mm,OK,--,15:31:53,2024/3/1,
336,11.9,N,0.000,mm,OK,--,15:31:53,2024/3/1,
337,11.9,N,0.000,mm,OK,--,15:31:53,2024/3/1,
338,11.9,N,0.000,mm,OK,--,15:31:53,2024/3/1,
339,12.0,N,0.000,mm,OK,--,15:31:54,2024/3/1,
340,12.1,N,0.000,mm,OK,--,15:31:54,2024/3/1,
341,12.1,N,0.000,mm,OK,--,15:31:54,2024/3/1,
342,12.1,N,0.000,mm,OK,--,15:31:54,2024/3/1,
343,12.2,N,0.000,mm,OK,--,15:31:54,2024/3/1,
344,12.3,N,0.000,mm,OK,--,15:31:54,2024/3/1,
345,12.3,N,0.000,mm,OK,--,15:31:54,2024/3/1,
346,12.4,N,0.000,mm,OK,--,15:31:54,2024/3/1,
347,12.4,N,0.000,mm,OK,--,15:31:54,2024/3/1,
348,12.5,N,0.000,mm,OK,--,15:31:54,2024/3/1,
349,12.5,N,0.000,mm,OK,--,15:31:55,2024/3/1,
350,12.6,N,0.000,mm,OK,--,15:31:55,2024/3/1,
351,12.6,N,0.000,mm,OK,--,15:31:55,2024/3/1,
352,12.7,N,0.000,mm,OK,--,15:31:55,2024/3/1,
353,12.7,N,0.000,mm,OK,--,15:31:55,2024/3/1,
354,12.8,N,0.000,mm,OK,--,15:31:55,2024/3/1,
355,12.8,N,0.000,mm,OK,--,15:31:55,2024/3/1,
356,12.9,N,0.000,mm,OK,--,15:31:55,2024/3/1,
357,12.9,N,0.000,mm,OK,--,15:31:55,2024/3/1,
358,13.0,N,0.000,mm,OK,--,15:31:55,2024/3/1,
359,13.0,N,0.000,mm,OK,--,15:31:55,2024/3/1,
360,13.1,N,0.000,mm,OK,--,15:31:56,2024/3/1,
361,13.1,N,0.000,mm,OK,--,15:31:56,2024/3/1,
362,13.2,N,0.000,mm,OK,--,15:31:56,2024/3/1,
363,13.3,N,0.000,mm,OK,--,15:31:56,2024/3/1,
364,13.3,N,0.000,mm,OK,--,15:31:56,2024/3/1,
365,13.3,N,0.000,mm,OK,--,15:31:56,2024/3/1,
366,13.4,N,0.000,mm,OK,--,15:31:56,2024/3/1,
367,13.5,N,0.000,mm,OK,--,15:31:56,2024/3/1,
368,13.5,N,0.000,mm,OK,--,15:31:56,2024/3/1,
369,13.6,N,0.000,mm,OK,--,15:31:57,2024/3/1,
370,13.6,N,0.000,mm,OK,--,15:31:57,2024/3/1,
371,13.7,N,0.000,mm,OK,--,15:31:57,2024/3/1,
372,13.7,N,0.000,mm,OK,--,15:31:57,2024/3/1,
373,13.8,N,0.000,mm,OK,--,15:31:57,2024/3/1,
374,13.8,N,0.000,mm,OK,--,15:31:57,2024/3/1,
375,13.9,N,0.000,mm,OK,--,15:31:57,2024/3/1,
376,13.9,N,0.000,mm,OK,--,15:31:57,2024/3/1,
377,14.0,N,0.000,mm,OK,--,15:31:57,2024/3/1,
378,14.0,N,0.000,mm,OK,--,15:31:57,2024/3/1,
379,14.1,N,0.000,mm,OK,--,15:31:57,2024/3/1,
380,14.1,N,0.000,mm,OK,--,15:31:58,2024/3/1,
381,14.2,N,0.000,mm,OK,--,15:31:58,2024/3/1,
382,14.2,N,0.000,mm,OK,--,15:31:58,2024/3/1,
383,14.3,N,0.000,mm,OK,--,15:31:58,2024/3/1,
384,14.3,N,0.000,mm,OK,--,15:31:58,2024/3/1,
385,14.4,N,0.000,mm,OK,--,15:31:58,2024/3/1,
386,14.4,N,0.000,mm,OK,--,15:31:58,2024/3/1,
387,14.5,N,0.000,mm,OK,--,15:31:58,2024/3/1,
388,14.5,N,0.000,mm,OK,--,15:31:58,2024/3/1,
389,14.6,N,0.000,mm,OK,--,15:31:58,2024/3/1,
390,14.6,N,0.000,mm,OK,--,15:31:59,2024/3/1,
391,14.7,N,0.000,mm,OK,--,15:31:59,2024/3/1,
392,14.8,N,0.000,mm,OK,--,15:31:59,2024/3/1,
393,14.8,N,0.000,mm,OK,--,15:31:59,2024/3/1,
394,14.9,N,0.000,mm,OK,--,15:31:59,2024/3/1,
395,14.9,N,0.000,mm,OK,--,15:31:59,2024/3/1,
396,15.0,N,0.000,mm,OK,--,15:31:59,2024/3/1,
397,15.1,N,0.000,mm,OK,--,15:31:59,2024/3/1,
398,15.1,N,0.000,mm,OK,--,15:31:59,2024/3/1,
399,15.1,N,0.000,mm,OK,--,15:32:00,2024/3/1,
400,15.2,N,0.000,mm,OK,--,15:32:00,2024/3/1,
401,15.3,N,0.000,mm,OK,--,15:32:00,2024/3/1,
402,15.3,N,0.000,mm,OK,--,15:32:00,2024/3/1,
403,15.4,N,0.000,mm,OK,--,15:32:00,2024/3/1,
404,15.4,N,0.000,mm,OK,--,15:32:00,2024/3/1,
405,15.5,N,0.000,mm,OK,--,15:32:00,2024/3/1,
406,15.6,N,0.000,mm,OK,--,15:32:00,2024/3/1,
407,15.6,N,0.000,mm,OK,--,15:32:00,2024/3/1,
