最大值,54.2,@,No.1273,,,,,,
最小值,-1.4,@,No.2016,,,,,,
平均值,19.23,,,,,,,,
次数,2522,,,,,,,,
NG次数,0,,,,,,,,
号码,力量,单位,位移,单位,合格判定,姿势,时间,日期,
1,0.0,N,0.000,mm,OK,--,20:44:29,2024/3/2,
2,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
3,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
4,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
5,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
6,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
7,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
8,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
9,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
10,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
11,0.0,N,0.000,mm,OK,--,20:44:30,2024/3/2,
12,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
13,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
14,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
15,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
16,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
17,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
18,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
19,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
20,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
21,0.0,N,0.000,mm,OK,--,20:44:31,2024/3/2,
22,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
23,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
24,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
25,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
26,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
27,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
28,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
29,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
30,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
31,0.0,N,0.000,mm,OK,--,20:44:32,2024/3/2,
32,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
33,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
34,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
35,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
36,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
37,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
38,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
39,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
40,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
41,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
42,0.0,N,0.000,mm,OK,--,20:44:33,2024/3/2,
43,0.0,N,0.000,mm,OK,--,20:44:34,2024/3/2,
44,0.0,N,0.000,mm,OK,--,20:44:34,2024/3/2,
45,0.0,N,0.000,mm,OK,--,20:44:34,2024/3/2,
46,0.0,N,0.000,mm,OK,--,20:44:34,2024/3/2,
47,0.0,N,0.000,mm,OK,--,20:44:34,2024/3/2,
48,0.0,N,0.000,mm,OK,--,20:44:34,2024/3/2,
49,0.0,N,0.000,mm,OK,--,20:44:34,2024/3/2,
50,0.0,N,0.000,mm,OK,--,20:44:34,2024/3/2,
51,0.0,N,0.000,mm,OK,--,20:44:34,2024/3/2,
52,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
53,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
54,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
55,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
56,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
57,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
58,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
59,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
60,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
61,0.0,N,0.000,mm,OK,--,20:44:35,2024/3/2,
62,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
63,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
64,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
65,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
66,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
67,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
68,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
69,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
70,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
71,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
72,0.0,N,0.000,mm,OK,--,20:44:36,2024/3/2,
73,0.0,N,0.000,mm,OK,--,20:44:37,2024/3/2,
74,0.0,N,0.000,mm,OK,--,20:44:37,2024/3/2,
75,0.0,N,0.000,mm,OK,--,20:44:37,2024/3/2,
76,0.0,N,0.000,mm,OK,--,20:44:37,2024/3/2,
77,0.0,N,0.000,mm,OK,--,20:44:37,2024/3/2,
78,0.0,N,0.000,mm,OK,--,20:44:37,2024/3/2,
79,0.0,N,0.000,mm,OK,--,20:44:37,2024/3/2,
80,0.0,N,0.000,mm,OK,--,20:44:37,2024/3/2,
81,0.0,N,0.000,mm,OK,--,20:44:37,2024/3/2,
82,0.1,N,0.000,mm,OK,--,20:44:38,2024/3/2,
83,0.2,N,0.000,mm,OK,--,20:44:38,2024/3/2,
84,0.2,N,0.000,mm,OK,--,20:44:38,2024/3/2,
85,0.3,N,0.000,mm,OK,--,20:44:38,2024/3/2,
86,0.4,N,0.000,mm,OK,--,20:44:38,2024/3/2,
87,0.5,N,0.000,mm,OK,--,20:44:38,2024/3/2,
88,0.6,N,0.000,mm,OK,--,20:44:38,2024/3/2,
89,0.6,N,0.000,mm,OK,--,20:44:38,2024/3/2,
90,0.7,N,0.000,mm,OK,--,20:44:38,2024/3/2,
91,0.8,N,0.000,mm,OK,--,20:44:38,2024/3/2,
92,0.9,N,0.000,mm,OK,--,20:44:39,2024/3/2,
93,0.9,N,0.000,mm,OK,--,20:44:39,2024/3/2,
94,1.0,N,0.000,mm,OK,--,20:44:39,2024/3/2,
95,1.1,N,0.000,mm,OK,--,20:44:39,2024/3/2,
96,1.1,N,0.000,mm,OK,--,20:44:39,2024/3/2,
97,1.1,N,0.000,mm,OK,--,20:44:39,2024/3/2,
98,1.2,N,0.000,mm,OK,--,20:44:39,2024/3/2,
99,1.2,N,0.000,mm,OK,--,20:44:39,2024/3/2,
100,1.3,N,0.000,mm,OK,--,20:44:39,2024/3/2,
101,1.3,N,0.000,mm,OK,--,20:44:39,2024/3/2,
102,1.4,N,0.000,mm,OK,--,20:44:40,2024/3/2,
