最大值,59.4,@,No.1283,,,,,,
最小值,-2.0,@,No.2232,,,,,,
平均值,20.01,,,,,,,,
次数,2493,,,,,,,,
NG次数,0,,,,,,,,
号码,力量,单位,位移,单位,合格判定,姿势,时间,日期,
90,-0.1,N,0.000,mm,OK,--,15:17:07,2024/3/1,
91,-0.1,N,0.000,mm,OK,--,15:17:07,2024/3/1,
92,-0.1,N,0.000,mm,OK,--,15:17:07,2024/3/1,
93,-0.1,N,0.000,mm,OK,--,15:17:07,2024/3/1,
94,-0.1,N,0.000,mm,OK,--,15:17:07,2024/3/1,
95,-0.1,N,0.000,mm,OK,--,15:17:07,2024/3/1,
96,-0.1,N,0.000,mm,OK,--,15:17:07,2024/3/1,
97,-0.1,N,0.000,mm,OK,--,15:17:08,2024/3/1,
98,-0.1,N,0.000,mm,OK,--,15:17:08,2024/3/1,
99,-0.1,N,0.000,mm,OK,--,15:17:08,2024/3/1,
100,-0.1,N,0.000,mm,OK,--,15:17:08,2024/3/1,
101,-0.1,N,0.000,mm,OK,--,15:17:08,2024/3/1,
102,0.0,N,0.000,mm,OK,--,15:17:08,2024/3/1,
103,0.0,N,0.000,mm,OK,--,15:17:08,2024/3/1,
104,0.0,N,0.000,mm,OK,--,15:17:08,2024/3/1,
105,0.1,N,0.000,mm,OK,--,15:17:08,2024/3/1,
106,0.2,N,0.000,mm,OK,--,15:17:08,2024/3/1,
107,0.3,N,0.000,mm,OK,--,15:17:09,2024/3/1,
108,0.3,N,0.000,mm,OK,--,15:17:09,2024/3/1,
109,0.4,N,0.000,mm,OK,--,15:17:09,2024/3/1,
110,0.5,N,0.000,mm,OK,--,15:17:09,2024/3/1,
111,0.6,N,0.000,mm,OK,--,15:17:09,2024/3/1,
112,0.6,N,0.000,mm,OK,--,15:17:09,2024/3/1,
113,0.7,N,0.000,mm,OK,--,15:17:09,2024/3/1,
114,0.7,N,0.000,mm,OK,--,15:17:09,2024/3/1,
115,0.8,N,0.000,mm,OK,--,15:17:09,2024/3/1,
116,0.8,N,0.000,mm,OK,--,15:17:10,2024/3/1,
117,0.9,N,0.000,mm,OK,--,15:17:10,2024/3/1,
118,0.9,N,0.000,mm,OK,--,15:17:10,2024/3/1,
119,1.0,N,0.000,mm,OK,--,15:17:10,2024/3/1,
120,1.0,N,0.000,mm,OK,--,15:17:10,2024/3/1,
121,1.1,N,0.000,mm,OK,--,15:17:10,2024/3/1,
122,1.1,N,0.000,mm,OK,--,15:17:10,2024/3/1,
123,1.2,N,0.000,mm,OK,--,15:17:10,2024/3/1,
124,1.2,N,0.000,mm,OK,--,15:17:10,2024/3/1,
125,1.3,N,0.000,mm,OK,--,15:17:10,2024/3/1,
126,1.3,N,0.000,mm,OK,--,15:17:10,2024/3/1,
127,1.4,N,0.000,mm,OK,--,15:17:11,2024/3/1,
128,1.4,N,0.000,mm,OK,--,15:17:11,2024/3/1,
129,1.5,N,0.000,mm,OK,--,15:17:11,2024/3/1,
130,1.5,N,0.000,mm,OK,--,15:17:11,2024/3/1,
131,1.6,N,0.000,mm,OK,--,15:17:11,2024/3/1,
132,1.6,N,0.000,mm,OK,--,15:17:11,2024/3/1,
133,1.7,N,0.000,mm,OK,--,15:17:11,2024/3/1,
134,1.7,N,0.000,mm,OK,--,15:17:11,2024/3/1,
135,1.8,N,0.000,mm,OK,--,15:17:11,2024/3/1,
136,1.8,N,0.000,mm,OK,--,15:17:11,2024/3/1,
137,1.9,N,0.000,mm,OK,--,15:17:12,2024/3/1,
138,1.9,N,0.000,mm,OK,--,15:17:12,2024/3/1,
139,1.9,N,0.000,mm,OK,--,15:17:12,2024/3/1,
140,2.0,N,0.000,mm,OK,--,15:17:12,2024/3/1,
141,2.0,N,0.000,mm,OK,--,15:17:12,2024/3/1,
142,2.1,N,0.000,mm,OK,--,15:17:12,2024/3/1,
143,2.1,N,0.000,mm,OK,--,15:17:12,2024/3/1,
144,2.2,N,0.000,mm,OK,--,15:17:12,2024/3/1,
145,2.2,N,0.000,mm,OK,--,15:17:12,2024/3/1,
146,2.3,N,0.000,mm,OK,--,15:17:12,2024/3/1,
147,2.3,N,0.000,mm,OK,--,15:17:13,2024/3/1,
148,2.4,N,0.000,mm,OK,--,15:17:13,2024/3/1,
149,2.4,N,0.000,mm,OK,--,15:17:13,2024/3/1,
150,2.5,N,0.000,mm,OK,--,15:17:13,2024/3/1,
151,2.5,N,0.000,mm,OK,--,15:17:13,2024/3/1,
152,2.6,N,0.000,mm,OK,--,15:17:13,2024/3/1,
153,2.6,N,0.000,mm,OK,--,15:17:13,2024/3/1,
154,2.7,N,0.000,mm,OK,--,15:17:13,2024/3/1,
155,2.7,N,0.000,mm,OK,--,15:17:13,2024/3/1,
156,2.8,N,0.000,mm,OK,--,15:17:13,2024/3/1,
157,2.8,N,0.000,mm,OK,--,15:17:14,2024/3/1,
158,2.9,N,0.000,mm,OK,--,15:17:14,2024/3/1,
159,2.9,N,0.000,mm,OK,--,15:17:14,2024/3/1,
160,3.0,N,0.000,mm,OK,--,15:17:14,2024/3/1,
161,3.0,N,0.000,mm,OK,--,15:17:14,2024/3/1,
162,3.1,N,0.000,mm,OK,--,15:17:14,2024/3/1,
163,3.1,N,0.000,mm,OK,--,15:17:14,2024/3/1,
164,3.2,N,0.000,mm,OK,--,15:17:14,2024/3/1,
165,3.2,N,0.000,mm,OK,--,15:17:14,2024/3/1,
166,3.3,N,0.000,mm,OK,--,15:17:14,2024/3/1,
167,3.3,N,0.000,mm,OK,--,15:17:15,2024/3/1,
168,3.3,N,0.000,mm,OK,--,15:17:15,2024/3/1,
169,3.4,N,0.000,mm,OK,--,15:17:15,2024/3/1,
170,3.5,N,0.000,mm,OK,--,15:17:15,2024/3/1,
171,3.5,N,0.000,mm,OK,--,15:17:15,2024/3/1,
172,3.5,N,0.000,mm,OK,--,15:17:15,2024/3/1,
173,3.6,N,0.000,mm,OK,--,15:17:15,2024/3/1,
174,3.6,N,0.000,mm,OK,--,15:17:15,2024/3/1,
175,3.7,N,0.000,mm,OK,--,15:17:15,2024/3/1,
176,3.7,N,0.000,mm,OK,--,15:17:15,2024/3/1,
177,3.8,N,0.000,mm,OK,--,15:17:16,2024/3/1,
178,3.8,N,0.000,mm,OK,--,15:17:16,2024/3/1,
179,3.9,N,0.000,mm,OK,--,15:17:16,2024/3/1,
180,3.9,N,0.000,mm,OK,--,15:17:16,2024/3/1,
181,4.0,N,0.000,mm,OK,--,15:17:16,2024/3/1,
182,4.0,N,0.000,mm,OK,--,15:17:16,2024/3/1,
183,4.1,N,0.000,mm,OK,--,15:17:16,2024/3/1,
184,4.1,N,0.000,mm,OK,--,15:17:16,2024/3/1,
185,4.2,N,0.000,mm,OK,--,15:17:16,2024/3/1,
186,4.2,N,0.000,mm,OK,--,15:17:17,2024/3/1,
187,4.2,N,0.000,mm,OK,--,15:17:17,2024/3/1,
188,4.3,N,0.000,mm,OK,--,15:17:17,2024/3/1,
189,4.4,N,0.000,mm,OK,--,15:17:17,2024/3/1,
190,4.4,N,0.000,mm,OK,--,15:17:17,2024/3/1,
191,4.4,N,0.000,mm,OK,--,15:17:17,2024/3/1,
192,4.5,N,0.000,mm,OK,--,15:17:17,2024/3/1,
193,4.5,N,0.000,mm,OK,--,15:17:17,2024/3/1,
194,4.6,N,0.000,mm,OK,--,15:17:17,2024/3/1,
195,4.6,N,0.000,mm,OK,--,15:17:17,2024/3/1,
196,4.7,N,0.000,mm,OK,--,15:17:17,2024/3/1,
197,4.7,N,0.000,mm,OK,--,15:17:18,2024/3/1,
198,4.8,N,0.000,mm,OK,--,15:17:18,2024/3/1,
199,4.8,N,0.000,mm,OK,--,15:17:18,2024/3/1,
200,4.9,N,0.000,mm,OK,--,15:17:18,2024/3/1,
201,4.9,N,0.000,mm,OK,--,15:17:18,2024/3/1,
202,5.0,N,0.000,mm,OK,--,15:17:18,2024/3/1,
203,5.0,N,0.000,mm,OK,--,15:17:18,2024/3/1,
204,5.1,N,0.000,mm,OK,--,15:17:18,2024/3/1,
205,5.1,N,0.000,mm,OK,--,15:17:18,2024/3/1,
206,5.1,N,0.000,mm,OK,--,15:17:18,2024/3/1,
207,5.2,N,0.000,mm,OK,--,15:17:19,2024/3/1,
208,5.3,N,0.000,mm,OK,--,15:17:19,2024/3/1,
209,5.3,N,0.000,mm,OK,--,15:17:19,2024/3/1,
210,5.3,N,0.000,mm,OK,--,15:17:19,2024/3/1,
211,5.4,N,0.000,mm,OK,--,15:17:19,2024/3/1,
212,5.5,N,0.000,mm,OK,--,15:17:19,2024/3/1,
213,5.5,N,0.000,mm,OK,--,15:17:19,2024/3/1,
214,5.5,N,0.000,mm,OK,--,15:17:19,2024/3/1,
215,5.6,N,0.000,mm,OK,--,15:17:19,2024/3/1,
216,5.6,N,0.000,mm,OK,--,15:17:19,2024/3/1,
217,5.7,N,0.000,mm,OK,--,15:17:20,2024/3/1,
218,5.7,N,0.000,mm,OK,--,15:17:20,2024/3/1,
219,5.7,N,0.000,mm,OK,--,15:17:20,2024/3/1,
220,5.8,N,0.000,mm,OK,--,15:17:20,2024/3/1,
221,5.8,N,0.000,mm,OK,--,15:17:20,2024/3/1,
222,5.9,N,0.000,mm,OK,--,15:17:20,2024/3/1,
223,5.9,N,0.000,mm,OK,--,15:17:20,2024/3/1,
224,6.0,N,0.000,mm,OK,--,15:17:20,2024/3/1,
225,6.0,N,0.000,mm,OK,--,15:17:20,2024/3/1,
226,6.1,N,0.000,mm,OK,--,15:17:20,2024/3/1,
227,6.1,N,0.000,mm,OK,--,15:17:21,2024/3/1,
228,6.2,N,0.000,mm,OK,--,15:17:21,2024/3/1,
229,6.2,N,0.000,mm,OK,--,15:17:21,2024/3/1,
230,6.3,N,0.000,mm,OK,--,15:17:21,2024/3/1,
231,6.3,N,0.000,mm,OK,--,15:17:21,2024/3/1,
232,6.4,N,0.000,mm,OK,--,15:17:21,2024/3/1,
233,6.5,N,0.000,mm,OK,--,15:17:21,2024/3/1,
234,6.5,N,0.000,mm,OK,--,15:17:21,2024/3/1,
235,6.5,N,0.000,mm,OK,--,15:17:21,2024/3/1,
236,6.6,N,0.000,mm,OK,--,15:17:21,2024/3/1,
237,6.7,N,0.000,mm,OK,--,15:17:22,2024/3/1,
238,6.7,N,0.000,mm,OK,--,15:17:22,2024/3/1,
239,6.8,N,0.000,mm,OK,--,15:17:22,2024/3/1,
240,6.8,N,0.000,mm,OK,--,15:17:22,2024/3/1,
241,6.9,N,0.000,mm,OK,--,15:17:22,2024/3/1,
242,6.9,N,0.000,mm,OK,--,15:17:22,2024/3/1,
243,7.0,N,0.000,mm,OK,--,15:17:22,2024/3/1,
