Displacement,force,Time,Time2
0.39500000000000024,0.0,2024-03-02 20:44:42.215991,1709379882216
0.40000000000000024,854.1120000000001,2024-03-02 20:44:42.279239,1709379882279
0.40500000000000025,0.0,2024-03-02 20:44:42.342118,1709379882342
0.41000000000000025,831.0208,2024-03-02 20:44:42.405355,1709379882405
0.41500000000000026,747.7088,2024-03-02 20:44:42.452945,1709379882453
0.42000000000000026,0.0,2024-03-02 20:44:42.515845,1709379882516
0.42500000000000027,877.2031999999999,2024-03-02 20:44:42.579036,1709379882579
0.43000000000000027,0.0,2024-03-02 20:44:42.642060,1709379882642
0.4350000000000003,850.3072,2024-03-02 20:44:42.705673,1709379882706
0.4400000000000003,0.0,2024-03-02 20:44:42.753847,1709379882754
0.4450000000000003,0.0,2024-03-02 20:44:42.802087,1709379882802
0.4500000000000003,359.0944,2024-03-02 20:44:42.864966,1709379882865
0.4550000000000003,0.0,2024-03-02 20:44:42.928228,1709379882928
0.4600000000000003,747.7088,2024-03-02 20:44:42.991681,1709379882992
0.4650000000000003,2.624,2024-03-02 20:44:43.055525,1709379883056
0.4700000000000003,824.592,2024-03-02 20:44:43.119114,1709379883119
0.4750000000000003,0.0,2024-03-02 20:44:43.181858,1709379883182
0.4800000000000003,818.2944,2024-03-02 20:44:43.244772,1709379883245
0.4850000000000003,0.0,2024-03-02 20:44:43.308908,1709379883309
0.4900000000000003,718.1888,2024-03-02 20:44:43.356619,1709379883357
0.49500000000000033,359.0944,2024-03-02 20:44:43.420184,1709379883420
0.5000000000000003,0.0,2024-03-02 20:44:43.482907,1709379883483
0.5050000000000003,834.9567999999999,2024-03-02 20:44:43.546048,1709379883546
0.5100000000000003,0.0,2024-03-02 20:44:43.609405,1709379883609
0.5150000000000003,833.6447999999999,2024-03-02 20:44:43.656680,1709379883657
0.5200000000000004,0.0,2024-03-02 20:44:43.719405,1709379883719
0.5250000000000004,786.1504,2024-03-02 20:44:43.782463,1709379883782
0.5300000000000004,0.0,2024-03-02 20:44:43.846231,1709379883846
0.5350000000000004,706.6432,2024-03-02 20:44:43.909294,1709379883909
0.5400000000000004,840.0735999999999,2024-03-02 20:44:43.956742,1709379883957
0.5450000000000004,19.2864,2024-03-02 20:44:44.019716,1709379884020
0.5500000000000004,836.1376,2024-03-02 20:44:44.083034,1709379884083
0.5550000000000004,0.0,2024-03-02 20:44:44.145880,1709379884146
0.5600000000000004,814.3584000000001,2024-03-02 20:44:44.193677,1709379884194
0.5650000000000004,191.1584,2024-03-02 20:44:44.256359,1709379884256
0.5700000000000004,352.6656,2024-03-02 20:44:44.318886,1709379884319
0.5750000000000004,339.808,2024-03-02 20:44:44.382811,1709379884383
0.5800000000000004,203.8848,2024-03-02 20:44:44.445553,1709379884446
0.5850000000000004,831.0208,2024-03-02 20:44:44.508988,1709379884509
0.5900000000000004,0.0,2024-03-02 20:44:44.556467,1709379884556
0.5950000000000004,836.1376,2024-03-02 20:44:44.619534,1709379884620
0.6000000000000004,0.0,2024-03-02 20:44:44.683580,1709379884684
0.6050000000000004,784.8384,2024-03-02 20:44:44.746204,1709379884746
0.6100000000000004,445.0304,2024-03-02 20:44:44.810843,1709379884811
0.6150000000000004,580.9536,2024-03-02 20:44:44.858828,1709379884859
0.6200000000000004,1158.1024,2024-03-02 20:44:44.920064,1709379884920
0.6250000000000004,341.12,2024-03-02 20:44:44.983602,1709379884984
0.6300000000000004,1219.6352,2024-03-02 20:44:45.046630,1709379885047
0.6350000000000005,377.0688,2024-03-02 20:44:45.109907,1709379885110
0.6400000000000005,1291.5328000000002,2024-03-02 20:44:45.156904,1709379885157
0.6450000000000005,551.4336,2024-03-02 20:44:45.220314,1709379885220
0.6500000000000005,816.9824000000001,2024-03-02 20:44:45.283534,1709379885284
0.6550000000000005,742.592,2024-03-02 20:44:45.346415,1709379885346
0.6600000000000005,724.6176,2024-03-02 20:44:45.409990,1709379885410
0.6650000000000005,1312.0,2024-03-02 20:44:45.456869,1709379885457
0.6700000000000005,568.096,2024-03-02 20:44:45.520657,1709379885521
0.6750000000000005,1312.0,2024-03-02 20:44:45.583466,1709379885583
0.6800000000000005,509.1872,2024-03-02 20:44:45.646290,1709379885646
0.6850000000000005,1285.104,2024-03-02 20:44:45.709549,1709379885710
0.6900000000000005,1085.024,2024-03-02 20:44:45.756819,1709379885757
0.6950000000000005,692.6048000000001,2024-03-02 20:44:45.820468,1709379885820
0.7000000000000005,1182.5056,2024-03-02 20:44:45.883631,1709379885884
0.7050000000000005,348.86080000000004,2024-03-02 20:44:45.946166,1709379885946
0.7100000000000005,1158.1024,2024-03-02 20:44:46.010695,1709379886011
0.7150000000000005,300.0544,2024-03-02 20:44:46.057424,1709379886057
0.7200000000000005,847.6832,2024-03-02 20:44:46.120898,1709379886121
0.7250000000000005,303.99039999999997,2024-03-02 20:44:46.184532,1709379886185
0.7300000000000005,679.7472,2024-03-02 20:44:46.247719,1709379886248
0.7350000000000005,514.304,2024-03-02 20:44:46.311511,1709379886312
0.7400000000000005,257.808,2024-03-02 20:44:46.359503,1709379886360
0.7450000000000006,1149.1808,2024-03-02 20:44:46.423458,1709379886423
0.7500000000000006,259.12,2024-03-02 20:44:46.486796,1709379886487
0.7550000000000006,1133.6992,2024-03-02 20:44:46.549492,1709379886549
0.7600000000000006,291.1328,2024-03-02 20:44:46.613273,1709379886613
0.7650000000000006,764.3712,2024-03-02 20:44:46.661016,1709379886661
0.7700000000000006,951.5935999999999,2024-03-02 20:44:46.723905,1709379886724
0.7750000000000006,630.9408,2024-03-02 20:44:46.787565,1709379886788
0.7800000000000006,1129.8944,2024-03-02 20:44:46.850735,1709379886851
0.7850000000000006,319.3408,2024-03-02 20:44:46.914161,1709379886914
0.7900000000000006,1150.3616,2024-03-02 20:44:46.962354,1709379886962
0.7950000000000006,333.5104,2024-03-02 20:44:47.024937,1709379887025
0.8000000000000006,1174.7648,2024-03-02 20:44:47.088031,1709379887088
0.8050000000000006,278.27520000000004,2024-03-02 20:44:47.151077,1709379887151
0.8100000000000006,315.536,2024-03-02 20:44:47.198277,1709379887198
0.8150000000000006,1075.9712,2024-03-02 20:44:47.261471,1709379887261
0.8200000000000006,361.7184,2024-03-02 20:44:47.324914,1709379887325
0.8250000000000006,1258.0768,2024-03-02 20:44:47.388383,1709379887388
0.8300000000000006,382.1856,2024-03-02 20:44:47.451936,1709379887452
0.8350000000000006,1263.3247999999999,2024-03-02 20:44:47.514852,1709379887515
0.8400000000000006,638.6816,2024-03-02 20:44:47.561876,1709379887562
0.8450000000000006,1174.7648,2024-03-02 20:44:47.624765,1709379887625
0.8500000000000006,1101.6864,2024-03-02 20:44:47.687917,1709379887688
0.8550000000000006,374.4448,2024-03-02 20:44:47.750588,1709379887751
0.8600000000000007,1158.1024,2024-03-02 20:44:47.814409,1709379887814
