最大值,35.6,@,No.1258,,,,,,
最小值,-2.7,@,No.2213,,,,,,
平均值,12.71,,,,,,,,
次数,2494,,,,,,,,
NG次数,0,,,,,,,,
号码,力量,单位,位移,单位,合格判定,姿势,时间,日期,
89,0.8,N,0.000,mm,OK,--,20:56:07,2024/3/2,
90,0.9,N,0.000,mm,OK,--,20:56:07,2024/3/2,
91,0.9,N,0.000,mm,OK,--,20:56:07,2024/3/2,
92,1.0,N,0.000,mm,OK,--,20:56:07,2024/3/2,
93,1.0,N,0.000,mm,OK,--,20:56:07,2024/3/2,
94,1.1,N,0.000,mm,OK,--,20:56:07,2024/3/2,
95,1.2,N,0.000,mm,OK,--,20:56:07,2024/3/2,
96,1.2,N,0.000,mm,OK,--,20:56:07,2024/3/2,
97,1.3,N,0.000,mm,OK,--,20:56:07,2024/3/2,
98,1.4,N,0.000,mm,OK,--,20:56:08,2024/3/2,
99,1.4,N,0.000,mm,OK,--,20:56:08,2024/3/2,
100,1.5,N,0.000,mm,OK,--,20:56:08,2024/3/2,
101,1.5,N,0.000,mm,OK,--,20:56:08,2024/3/2,
102,1.6,N,0.000,mm,OK,--,20:56:08,2024/3/2,
103,1.6,N,0.000,mm,OK,--,20:56:08,2024/3/2,
104,1.7,N,0.000,mm,OK,--,20:56:08,2024/3/2,
105,1.8,N,0.000,mm,OK,--,20:56:08,2024/3/2,
106,1.8,N,0.000,mm,OK,--,20:56:08,2024/3/2,
107,1.9,N,0.000,mm,OK,--,20:56:08,2024/3/2,
108,1.9,N,0.000,mm,OK,--,20:56:09,2024/3/2,
109,2.0,N,0.000,mm,OK,--,20:56:09,2024/3/2,
110,2.1,N,0.000,mm,OK,--,20:56:09,2024/3/2,
111,2.1,N,0.000,mm,OK,--,20:56:09,2024/3/2,
112,2.2,N,0.000,mm,OK,--,20:56:09,2024/3/2,
113,2.2,N,0.000,mm,OK,--,20:56:09,2024/3/2,
114,2.3,N,0.000,mm,OK,--,20:56:09,2024/3/2,
115,2.4,N,0.000,mm,OK,--,20:56:09,2024/3/2,
116,2.4,N,0.000,mm,OK,--,20:56:09,2024/3/2,
117,2.5,N,0.000,mm,OK,--,20:56:09,2024/3/2,
118,2.6,N,0.000,mm,OK,--,20:56:10,2024/3/2,
119,2.6,N,0.000,mm,OK,--,20:56:10,2024/3/2,
120,2.7,N,0.000,mm,OK,--,20:56:10,2024/3/2,
121,2.7,N,0.000,mm,OK,--,20:56:10,2024/3/2,
122,2.8,N,0.000,mm,OK,--,20:56:10,2024/3/2,
123,2.9,N,0.000,mm,OK,--,20:56:10,2024/3/2,
124,2.9,N,0.000,mm,OK,--,20:56:10,2024/3/2,
125,3.0,N,0.000,mm,OK,--,20:56:10,2024/3/2,
126,3.0,N,0.000,mm,OK,--,20:56:10,2024/3/2,
127,3.1,N,0.000,mm,OK,--,20:56:10,2024/3/2,
128,3.1,N,0.000,mm,OK,--,20:56:11,2024/3/2,
129,3.2,N,0.000,mm,OK,--,20:56:11,2024/3/2,
130,3.3,N,0.000,mm,OK,--,20:56:11,2024/3/2,
131,3.3,N,0.000,mm,OK,--,20:56:11,2024/3/2,
132,3.4,N,0.000,mm,OK,--,20:56:11,2024/3/2,
133,3.4,N,0.000,mm,OK,--,20:56:11,2024/3/2,
134,3.5,N,0.000,mm,OK,--,20:56:11,2024/3/2,
135,3.6,N,0.000,mm,OK,--,20:56:11,2024/3/2,
136,3.6,N,0.000,mm,OK,--,20:56:11,2024/3/2,
137,3.7,N,0.000,mm,OK,--,20:56:11,2024/3/2,
138,3.8,N,0.000,mm,OK,--,20:56:12,2024/3/2,
139,3.8,N,0.000,mm,OK,--,20:56:12,2024/3/2,
140,3.9,N,0.000,mm,OK,--,20:56:12,2024/3/2,
141,3.9,N,0.000,mm,OK,--,20:56:12,2024/3/2,
142,4.0,N,0.000,mm,OK,--,20:56:12,2024/3/2,
143,4.1,N,0.000,mm,OK,--,20:56:12,2024/3/2,
144,4.1,N,0.000,mm,OK,--,20:56:12,2024/3/2,
145,4.2,N,0.000,mm,OK,--,20:56:12,2024/3/2,
146,4.3,N,0.000,mm,OK,--,20:56:12,2024/3/2,
147,4.3,N,0.000,mm,OK,--,20:56:12,2024/3/2,
148,4.4,N,0.000,mm,OK,--,20:56:13,2024/3/2,
149,4.4,N,0.000,mm,OK,--,20:56:13,2024/3/2,
150,4.5,N,0.000,mm,OK,--,20:56:13,2024/3/2,
151,4.5,N,0.000,mm,OK,--,20:56:13,2024/3/2,
152,4.6,N,0.000,mm,OK,--,20:56:13,2024/3/2,
153,4.7,N,0.000,mm,OK,--,20:56:13,2024/3/2,
154,4.7,N,0.000,mm,OK,--,20:56:13,2024/3/2,
155,4.8,N,0.000,mm,OK,--,20:56:13,2024/3/2,
156,4.8,N,0.000,mm,OK,--,20:56:13,2024/3/2,
157,4.9,N,0.000,mm,OK,--,20:56:13,2024/3/2,
158,4.9,N,0.000,mm,OK,--,20:56:14,2024/3/2,
159,5.0,N,0.000,mm,OK,--,20:56:14,2024/3/2,
160,5.0,N,0.000,mm,OK,--,20:56:14,2024/3/2,
161,5.1,N,0.000,mm,OK,--,20:56:14,2024/3/2,
162,5.2,N,0.000,mm,OK,--,20:56:14,2024/3/2,
163,5.2,N,0.000,mm,OK,--,20:56:14,2024/3/2,
164,5.3,N,0.000,mm,OK,--,20:56:14,2024/3/2,
165,5.3,N,0.000,mm,OK,--,20:56:14,2024/3/2,
166,5.4,N,0.000,mm,OK,--,20:56:14,2024/3/2,
167,5.4,N,0.000,mm,OK,--,20:56:14,2024/3/2,
168,5.5,N,0.000,mm,OK,--,20:56:15,2024/3/2,
169,5.5,N,0.000,mm,OK,--,20:56:15,2024/3/2,
170,5.5,N,0.000,mm,OK,--,20:56:15,2024/3/2,
171,5.6,N,0.000,mm,OK,--,20:56:15,2024/3/2,
172,5.7,N,0.000,mm,OK,--,20:56:15,2024/3/2,
173,5.7,N,0.000,mm,OK,--,20:56:15,2024/3/2,
174,5.8,N,0.000,mm,OK,--,20:56:15,2024/3/2,
175,5.8,N,0.000,mm,OK,--,20:56:15,2024/3/2,
176,5.9,N,0.000,mm,OK,--,20:56:15,2024/3/2,
177,6.0,N,0.000,mm,OK,--,20:56:15,2024/3/2,
178,6.0,N,0.000,mm,OK,--,20:56:16,2024/3/2,
179,6.1,N,0.000,mm,OK,--,20:56:16,2024/3/2,
180,6.1,N,0.000,mm,OK,--,20:56:16,2024/3/2,
181,6.2,N,0.000,mm,OK,--,20:56:16,2024/3/2,
182,6.3,N,0.000,mm,OK,--,20:56:16,2024/3/2,
183,6.3,N,0.000,mm,OK,--,20:56:16,2024/3/2,
184,6.4,N,0.000,mm,OK,--,20:56:16,2024/3/2,
185,6.4,N,0.000,mm,OK,--,20:56:16,2024/3/2,
186,6.5,N,0.000,mm,OK,--,20:56:16,2024/3/2,
187,6.6,N,0.000,mm,OK,--,20:56:16,2024/3/2,
188,6.6,N,0.000,mm,OK,--,20:56:17,2024/3/2,
189,6.7,N,0.000,mm,OK,--,20:56:17,2024/3/2,
190,6.8,N,0.000,mm,OK,--,20:56:17,2024/3/2,
191,6.8,N,0.000,mm,OK,--,20:56:17,2024/3/2,
192,6.9,N,0.000,mm,OK,--,20:56:17,2024/3/2,
193,6.9,N,0.000,mm,OK,--,20:56:17,2024/3/2,
194,7.0,N,0.000,mm,OK,--,20:56:17,2024/3/2,
195,7.1,N,0.000,mm,OK,--,20:56:17,2024/3/2,
196,7.1,N,0.000,mm,OK,--,20:56:17,2024/3/2,
197,7.2,N,0.000,mm,OK,--,20:56:17,2024/3/2,
198,7.2,N,0.000,mm,OK,--,20:56:18,2024/3/2,
199,7.3,N,0.000,mm,OK,--,20:56:18,2024/3/2,
200,7.4,N,0.000,mm,OK,--,20:56:18,2024/3/2,
201,7.4,N,0.000,mm,OK,--,20:56:18,2024/3/2,
202,7.4,N,0.000,mm,OK,--,20:56:18,2024/3/2,
203,7.5,N,0.000,mm,OK,--,20:56:18,2024/3/2,
204,7.6,N,0.000,mm,OK,--,20:56:18,2024/3/2,
205,7.6,N,0.000,mm,OK,--,20:56:18,2024/3/2,
206,7.7,N,0.000,mm,OK,--,20:56:18,2024/3/2,
207,7.7,N,0.000,mm,OK,--,20:56:18,2024/3/2,
208,7.8,N,0.000,mm,OK,--,20:56:19,2024/3/2,
209,7.8,N,0.000,mm,OK,--,20:56:19,2024/3/2,
210,7.9,N,0.000,mm,OK,--,20:56:19,2024/3/2,
211,8.0,N,0.000,mm,OK,--,20:56:19,2024/3/2,
212,8.0,N,0.000,mm,OK,--,20:56:19,2024/3/2,
213,8.1,N,0.000,mm,OK,--,20:56:19,2024/3/2,
214,8.2,N,0.000,mm,OK,--,20:56:19,2024/3/2,
215,8.2,N,0.000,mm,OK,--,20:56:19,2024/3/2,
216,8.3,N,0.000,mm,OK,--,20:56:19,2024/3/2,
217,8.4,N,0.000,mm,OK,--,20:56:19,2024/3/2,
218,8.5,N,0.000,mm,OK,--,20:56:20,2024/3/2,
219,8.6,N,0.000,mm,OK,--,20:56:20,2024/3/2,
220,8.6,N,0.000,mm,OK,--,20:56:20,2024/3/2,
221,8.7,N,0.000,mm,OK,--,20:56:20,2024/3/2,
222,8.8,N,0.000,mm,OK,--,20:56:20,2024/3/2,
223,8.9,N,0.000,mm,OK,--,20:56:20,2024/3/2,
224,9.0,N,0.000,mm,OK,--,20:56:20,2024/3/2,
225,9.0,N,0.000,mm,OK,--,20:56:20,2024/3/2,
226,9.1,N,0.000,mm,OK,--,20:56:20,2024/3/2,
227,9.2,N,0.000,mm,OK,--,20:56:20,2024/3/2,
228,9.2,N,0.000,mm,OK,--,20:56:21,2024/3/2,
229,9.3,N,0.000,mm,OK,--,20:56:21,2024/3/2,
230,9.3,N,0.000,mm,OK,--,20:56:21,2024/3/2,
231,9.4,N,0.000,mm,OK,--,20:56:21,2024/3/2,
232,9.5,N,0.000,mm,OK,--,20:56:21,2024/3/2,
233,9.5,N,0.000,mm,OK,--,20:56:21,2024/3/2,
234,9.6,N,0.000,mm,OK,--,20:56:21,2024/3/2,
235,9.7,N,0.000,mm,OK,--,20:56:21,2024/3/2,
236,9.8,N,0.000,mm,OK,--,20:56:21,2024/3/2,
237,9.9,N,0.000,mm,OK,--,20:56:21,2024/3/2,
238,9.9,N,0.000,mm,OK,--,20:56:22,2024/3/2,
239,10.0,N,0.000,mm,OK,--,20:56:22,2024/3/2,
240,10.1,N,0.000,mm,OK,--,20:56:22,2024/3/2,
241,10.2,N,0.000,mm,OK,--,20:56:22,2024/3/2,
242,10.3,N,0.000,mm,OK,--,20:56:22,2024/3/2,
243,10.3,N,0.000,mm,OK,--,20:56:22,2024/3/2,
244,10.4,N,0.000,mm,OK,--,20:56:22,2024/3/2,
245,10.5,N,0.000,mm,OK,--,20:56:22,2024/3/2,
246,10.6,N,0.000,mm,OK,--,20:56:22,2024/3/2,
247,10.6,N,0.000,mm,OK,--,20:56:22,2024/3/2,
248,10.7,N,0.000,mm,OK,--,20:56:23,2024/3/2,
249,10.8,N,0.000,mm,OK,--,20:56:23,2024/3/2,
250,10.9,N,0.000,mm,OK,--,20:56:23,2024/3/2,
251,10.9,N,0.000,mm,OK,--,20:56:23,2024/3/2,
252,11.0,N,0.000,mm,OK,--,20:56:23,2024/3/2,
253,11.1,N,0.000,mm,OK,--,20:56:23,2024/3/2,
254,11.2,N,0.000,mm,OK,--,20:56:23,2024/3/2,
255,11.2,N,0.000,mm,OK,--,20:56:23,2024/3/2,
256,11.3,N,0.000,mm,OK,--,20:56:23,2024/3/2,
257,11.4,N,0.000,mm,OK,--,20:56:23,2024/3/2,
258,11.5,N,0.000,mm,OK,--,20:56:24,2024/3/2,
259,11.5,N,0.000,mm,OK,--,20:56:24,2024/3/2,
260,11.6,N,0.000,mm,OK,--,20:56:24,2024/3/2,
261,11.6,N,0.000,mm,OK,--,20:56:24,2024/3/2,
262,11.7,N,0.000,mm,OK,--,20:56:24,2024/3/2,
263,11.8,N,0.000,mm,OK,--,20:56:24,2024/3/2,
264,11.9,N,0.000,mm,OK,--,20:56:24,2024/3/2,
265,11.9,N,0.000,mm,OK,--,20:56:24,2024/3/2,
266,12.0,N,0.000,mm,OK,--,20:56:24,2024/3/2,
267,12.1,N,0.000,mm,OK,--,20:56:24,2024/3/2,
268,12.1,N,0.000,mm,OK,--,20:56:25,2024/3/2,
269,12.2,N,0.000,mm,OK,--,20:56:25,2024/3/2,
270,12.3,N,0.000,mm,OK,--,20:56:25,2024/3/2,
271,12.4,N,0.000,mm,OK,--,20:56:25,2024/3/2,
272,12.5,N,0.000,mm,OK,--,20:56:25,2024/3/2,
273,12.5,N,0.000,mm,OK,--,20:56:25,2024/3/2,
274,12.6,N,0.000,mm,OK,--,20:56:25,2024/3/2,
275,12.6,N,0.000,mm,OK,--,20:56:25,2024/3/2,
276,12.7,N,0.000,mm,OK,--,20:56:25,2024/3/2,
277,12.8,N,0.000,mm,OK,--,20:56:25,2024/3/2,
278,12.9,N,0.000,mm,OK,--,20:56:26,2024/3/2,
279,13.0,N,0.000,mm,OK,--,20:56:26,2024/3/2,
280,13.0,N,0.000,mm,OK,--,20:56:26,2024/3/2,
281,13.1,N,0.000,mm,OK,--,20:56:26,2024/3/2,
282,13.2,N,0.000,mm,OK,--,20:56:26,2024/3/2,
283,13.2,N,0.000,mm,OK,--,20:56:26,2024/3/2,
284,13.3,N,0.000,mm,OK,--,20:56:26,2024/3/2,
285,13.3,N,0.000,mm,OK,--,20:56:26,2024/3/2,
286,13.4,N,0.000,mm,OK,--,20:56:26,2024/3/2,
287,13.5,N,0.000,mm,OK,--,20:56:26,2024/3/2,
288,13.5,N,0.000,mm,OK,--,20:56:27,2024/3/2,
289,13.6,N,0.000,mm,OK,--,20:56:27,2024/3/2,
290,13.6,N,0.000,mm,OK,--,20:56:27,2024/3/2,
291,13.7,N,0.000,mm,OK,--,20:56:27,2024/3/2,
292,13.8,N,0.000,mm,OK,--,20:56:27,2024/3/2,
293,13.8,N,0.000,mm,OK,--,20:56:27,2024/3/2,
294,13.9,N,0.000,mm,OK,--,20:56:27,2024/3/2,
295,14.0,N,0.000,mm,OK,--,20:56:27,2024/3/2,
296,14.0,N,0.000,mm,OK,--,20:56:27,2024/3/2,
297,14.1,N,0.000,mm,OK,--,20:56:27,2024/3/2,
298,14.1,N,0.000,mm,OK,--,20:56:28,2024/3/2,
299,14.2,N,0.000,mm,OK,--,20:56:28,2024/3/2,
300,14.3,N,0.000,mm,OK,--,20:56:28,2024/3/2,
301,14.4,N,0.000,mm,OK,--,20:56:28,2024/3/2,
302,14.4,N,0.000,mm,OK,--,20:56:28,2024/3/2,
303,14.5,N,0.000,mm,OK,--,20:56:28,2024/3/2,
304,14.5,N,0.000,mm,OK,--,20:56:28,2024/3/2,
305,14.6,N,0.000,mm,OK,--,20:56:28,2024/3/2,
306,14.6,N,0.000,mm,OK,--,20:56:28,2024/3/2,
307,14.6,N,0.000,mm,OK,--,20:56:28,2024/3/2,
308,14.7,N,0.000,mm,OK,--,20:56:29,2024/3/2,
309,14.7,N,0.000,mm,OK,--,20:56:29,2024/3/2,
310,14.8,N,0.000,mm,OK,--,20:56:29,2024/3/2,
311,14.9,N,0.000,mm,OK,--,20:56:29,2024/3/2,
312,14.9,N,0.000,mm,OK,--,20:56:29,2024/3/2,
313,14.9,N,0.000,mm,OK,--,20:56:29,2024/3/2,
314,15.0,N,0.000,mm,OK,--,20:56:29,2024/3/2,
315,15.1,N,0.000,mm,OK,--,20:56:29,2024/3/2,
316,15.1,N,0.000,mm,OK,--,20:56:29,2024/3/2,
317,15.1,N,0.000,mm,OK,--,20:56:29,2024/3/2,
318,15.2,N,0.000,mm,OK,--,20:56:30,2024/3/2,
319,15.3,N,0.000,mm,OK,--,20:56:30,2024/3/2,
320,15.3,N,0.000,mm,OK,--,20:56:30,2024/3/2,
321,15.4,N,0.000,mm,OK,--,20:56:30,2024/3/2,
322,15.4,N,0.000,mm,OK,--,20:56:30,2024/3/2,
323,15.4,N,0.000,mm,OK,--,20:56:30,2024/3/2,
324,15.5,N,0.000,mm,OK,--,20:56:30,2024/3/2,
325,15.5,N,0.000,mm,OK,--,20:56:30,2024/3/2,
326,15.6,N,0.000,mm,OK,--,20:56:30,2024/3/2,
327,15.6,N,0.000,mm,OK,--,20:56:30,2024/3/2,
328,15.7,N,0.000,mm,OK,--,20:56:31,2024/3/2,
329,15.7,N,0.000,mm,OK,--,20:56:31,2024/3/2,
330,15.8,N,0.000,mm,OK,--,20:56:31,2024/3/2,
331,15.8,N,0.000,mm,OK,--,20:56:31,2024/3/2,
332,15.8,N,0.000,mm,OK,--,20:56:31,2024/3/2,
333,15.9,N,0.000,mm,OK,--,20:56:31,2024/3/2,
334,16.0,N,0.000,mm,OK,--,20:56:31,2024/3/2,
335,16.0,N,0.000,mm,OK,--,20:56:31,2024/3/2,
336,16.1,N,0.000,mm,OK,--,20:56:31,2024/3/2,
337,16.1,N,0.000,mm,OK,--,20:56:31,2024/3/2,
338,16.1,N,0.000,mm,OK,--,20:56:32,2024/3/2,
339,16.2,N,0.000,mm,OK,--,20:56:32,2024/3/2,
340,16.2,N,0.000,mm,OK,--,20:56:32,2024/3/2,
341,16.2,N,0.000,mm,OK,--,20:56:32,2024/3/2,
342,16.3,N,0.000,mm,OK,--,20:56:32,2024/3/2,
343,16.3,N,0.000,mm,OK,--,20:56:32,2024/3/2,
344,16.4,N,0.000,mm,OK,--,20:56:32,2024/3/2,
345,16.4,N,0.000,mm,OK,--,20:56:32,2024/3/2,
346,16.5,N,0.000,mm,OK,--,20:56:32,2024/3/2,
347,16.5,N,0.000,mm,OK,--,20:56:32,2024/3/2,
348,16.5,N,0.000,mm,OK,--,20:56:33,2024/3/2,
349,16.6,N,0.000,mm,OK,--,20:56:33,2024/3/2,
350,16.6,N,0.000,mm,OK,--,20:56:33,2024/3/2,
351,16.7,N,0.000,mm,OK,--,20:56:33,2024/3/2,
352,16.7,N,0.000,mm,OK,--,20:56:33,2024/3/2,
353,16.8,N,0.000,mm,OK,--,20:56:33,2024/3/2,
354,16.9,N,0.000,mm,OK,--,20:56:33,2024/3/2,
355,16.9,N,0.000,mm,OK,--,20:56:33,2024/3/2,
356,16.9,N,0.000,mm,OK,--,20:56:33,2024/3/2,
357,17.0,N,0.000,mm,OK,--,20:56:33,2024/3/2,
358,17.0,N,0.000,mm,OK,--,20:56:34,2024/3/2,
359,17.1,N,0.000,mm,OK,--,20:56:34,2024/3/2,
360,17.1,N,0.000,mm,OK,--,20:56:34,2024/3/2,
361,17.1,N,0.000,mm,OK,--,20:56:34,2024/3/2,
362,17.2,N,0.000,mm,OK,--,20:56:34,2024/3/2,
363,17.2,N,0.000,mm,OK,--,20:56:34,2024/3/2,
364,17.3,N,0.000,mm,OK,--,20:56:34,2024/3/2,
365,17.3,N,0.000,mm,OK,--,20:56:34,2024/3/2,
366,17.4,N,0.000,mm,OK,--,20:56:34,2024/3/2,
367,17.4,N,0.000,mm,OK,--,20:56:34,2024/3/2,
368,17.5,N,0.000,mm,OK,--,20:56:35,2024/3/2,
369,17.5,N,0.000,mm,OK,--,20:56:35,2024/3/2,
370,17.6,N,0.000,mm,OK,--,20:56:35,2024/3/2,
371,17.6,N,0.000,mm,OK,--,20:56:35,2024/3/2,
372,17.7,N,0.000,mm,OK,--,20:56:35,2024/3/2,
373,17.7,N,0.000,mm,OK,--,20:56:35,2024/3/2,
374,17.7,N,0.000,mm,OK,--,20:56:35,2024/3/2,
375,17.8,N,0.000,mm,OK,--,20:56:35,2024/3/2,
376,17.8,N,0.000,mm,OK,--,20:56:35,2024/3/2,
377,17.9,N,0.000,mm,OK,--,20:56:35,2024/3/2,
378,17.9,N,0.000,mm,OK,--,20:56:36,2024/3/2,
379,17.9,N,0.000,mm,OK,--,20:56:36,2024/3/2,
380,17.9,N,0.000,mm,OK,--,20:56:36,2024/3/2,
381,17.9,N,0.000,mm,OK,--,20:56:36,2024/3/2,
382,18.0,N,0.000,mm,OK,--,20:56:36,2024/3/2,
383,18.0,N,0.000,mm,OK,--,20:56:36,2024/3/2,
384,18.0,N,0.000,mm,OK,--,20:56:36,2024/3/2,
385,18.1,N,0.000,mm,OK,--,20:56:36,2024/3/2,
386,18.1,N,0.000,mm,OK,--,20:56:36,2024/3/2,
387,18.2,N,0.000,mm,OK,--,20:56:36,2024/3/2,
388,18.2,N,0.000,mm,OK,--,20:56:37,2024/3/2,
389,18.2,N,0.000,mm,OK,--,20:56:37,2024/3/2,
390,18.3,N,0.000,mm,OK,--,20:56:37,2024/3/2,
391,18.3,N,0.000,mm,OK,--,20:56:37,2024/3/2,
392,18.4,N,0.000,mm,OK,--,20:56:37,2024/3/2,
393,18.4,N,0.000,mm,OK,--,20:56:37,2024/3/2,
394,18.4,N,0.000,mm,OK,--,20:56:37,2024/3/2,
395,18.5,N,0.000,mm,OK,--,20:56:37,2024/3/2,
396,18.6,N,0.000,mm,OK,--,20:56:37,2024/3/2,
397,18.6,N,0.000,mm,OK,--,20:56:37,2024/3/2,
398,18.6,N,0.000,mm,OK,--,20:56:38,2024/3/2,
399,18.7,N,0.000,mm,OK,--,20:56:38,2024/3/2,
400,18.8,N,0.000,mm,OK,--,20:56:38,2024/3/2,
401,18.8,N,0.000,mm,OK,--,20:56:38,2024/3/2,
402,18.8,N,0.000,mm,OK,--,20:56:38,2024/3/2,
